,Instance,Height,Time,Run
149,25.0,,2.1574,
150,26.0,33.0,0.435,0.0
151,26.0,33.0,0.441,1.0
152,26.0,33.0,0.444,2.0
153,26.0,33.0,0.435,3.0
154,26.0,33.0,0.432,4.0
155,26.0,,0.4374,
156,27.0,34.0,2.481,0.0
157,27.0,34.0,2.437,1.0
158,27.0,34.0,2.444,2.0
159,27.0,34.0,2.451,3.0
160,27.0,34.0,2.535,4.0
161,27.0,,2.4696,
162,28.0,35.0,0.107,0.0
163,28.0,35.0,0.107,1.0
164,28.0,35.0,0.109,2.0
165,28.0,35.0,0.109,3.0
166,28.0,35.0,0.106,4.0
167,28.0,,0.1076,
168,29.0,36.0,0.448,0.0
169,29.0,36.0,0.446,1.0
170,29.0,36.0,0.444,2.0
171,29.0,36.0,0.436,3.0
172,29.0,36.0,0.455,4.0
173,29.0,,0.4458,
174,30.0,0.0,300.0,0.0
175,30.0,,300.0,
176,31.0,38.0,0.079,0.0
177,31.0,38.0,0.077,1.0
178,31.0,38.0,0.082,2.0
179,31.0,38.0,0.081,3.0
180,31.0,38.0,0.082,4.0
181,31.0,,0.0802,
182,32.0,39.0,12.516,0.0
183,32.0,39.0,13.049,1.0
184,32.0,39.0,13.827,2.0
185,32.0,39.0,13.421,3.0
186,32.0,39.0,13.391,4.0
187,32.0,,13.240799999999998,
188,33.0,40.0,0.345,0.0
189,33.0,40.0,0.339,1.0
190,33.0,40.0,0.35,2.0
191,33.0,40.0,0.341,3.0
192,33.0,40.0,0.347,4.0
193,33.0,,0.3443999999999999,
194,34.0,40.0,1.191,0.0
195,34.0,40.0,1.194,1.0
196,34.0,40.0,1.194,2.0
197,34.0,40.0,1.185,3.0
198,34.0,40.0,1.227,4.0
199,34.0,,1.1982,
200,35.0,40.0,0.323,0.0
201,35.0,40.0,0.327,1.0
202,35.0,40.0,0.312,2.0
203,35.0,40.0,0.317,3.0
204,35.0,40.0,0.308,4.0
205,35.0,,0.3174,
206,36.0,40.0,0.745,0.0
207,36.0,40.0,0.741,1.0
208,36.0,40.0,0.727,2.0
209,36.0,40.0,0.738,3.0
210,36.0,40.0,0.727,4.0
211,36.0,,0.7356,
212,37.0,60.0,13.113,0.0
213,37.0,60.0,13.291,1.0
214,37.0,60.0,13.493,2.0
215,37.0,60.0,13.091,3.0
216,37.0,60.0,13.204,4.0
217,37.0,,13.238400000000002,
218,38.0,0.0,300.0,0.0
219,38.0,,300.0,
220,39.0,60.0,8.901,0.0
221,39.0,60.0,8.986,1.0
222,39.0,60.0,9.594,2.0
223,39.0,60.0,9.719,3.0
224,39.0,60.0,9.409,4.0
225,39.0,,9.3218,
226,40.0,0.0,300.0,0.0
227,40.0,,300.0,
